fips,county,state,equity_score,tier,archetype,burden_raw,access_raw,provider_raw,provider_designations,prevention_raw,social_raw,DIABETES,ACCESS2,totalpopulation
38085,Sioux,ND,100.0,Critical,Burdened & under-served,23.316666666666663,34.53333333333333,26.0,12,39.06666666666667,31.475,20.1,13.9,3643
02158,Kusilvak,AK,100.0,Critical,Burdened & under-served,22.45,39.96666666666667,24.0,48,47.0,34.875,18.0,18.1,8001
48507,Zavala,TX,99.9,Critical,Burdened & under-served,21.633333333333336,44.4,23.0,12,38.36666666666667,,21.4,42.8,9312
02050,Bethel,AK,99.9,Critical,Burdened & under-served,19.700000000000003,38.0,26.0,131,42.49999999999999,30.375,14.7,15.9,18224
46102,Oglala Lakota,SD,99.9,Critical,Burdened & under-served,24.633333333333336,35.23333333333333,25.0,12,42.0,,23.8,18.9,13434
05077,Lee,AR,99.8,Critical,Burdened & under-served,22.583333333333332,32.43333333333334,26.0,9,32.300000000000004,28.35,17.1,16.0,8201
28119,Quitman,MS,99.8,Critical,Burdened & under-served,24.266666666666666,42.76666666666667,23.0,6,32.06666666666667,31.825,19.5,16.0,5546
48247,Jim Hogg,TX,99.8,Critical,Burdened & under-served,20.683333333333334,43.599999999999994,23.0,3,37.800000000000004,,20.2,41.3,4720
35031,McKinley,NM,99.7,Critical,Burdened & under-served,20.25,34.5,24.0,21,40.53333333333333,32.425,17.9,15.3,68797
28093,Marshall,MS,99.7,Critical,Burdened & under-served,20.549999999999997,42.36666666666667,25.0,8,31.266666666666666,25.025,15.7,14.9,34123
54047,McDowell,WV,99.7,Critical,Burdened & under-served,22.549999999999997,32.23333333333333,26.0,21,32.00000000000001,23.825,17.4,14.3,17439
46031,Corson,SD,99.6,Critical,Burdened & under-served,21.133333333333333,30.03333333333333,26.0,12,34.93333333333333,,18.3,14.6,3782
46121,Todd,SD,99.6,Critical,Burdened & under-served,24.5,33.03333333333333,23.0,6,38.5,,22.9,17.6,9199
28143,Tunica,MS,99.6,Critical,Burdened & under-served,24.38333333333333,42.833333333333336,23.0,6,30.866666666666664,33.0,19.9,16.5,9234
02188,Northwest Arctic,AK,99.5,Critical,Burdened & under-served,19.23333333333333,34.800000000000004,24.0,46,38.800000000000004,26.975,14.6,14.2,7361
28063,Jefferson,MS,99.5,Critical,Burdened & under-served,24.450000000000003,42.166666666666664,25.0,6,29.766666666666662,31.975,19.8,15.6,6941
46071,Jackson,SD,99.5,Critical,Burdened & under-served,20.416666666666668,30.2,26.0,6,35.36666666666667,,17.1,14.4,2776
13259,Stewart,GA,99.4,Critical,Burdened & under-served,21.05,35.96666666666667,26.0,9,30.233333333333334,27.200000000000003,18.4,26.7,4674
02180,Nome,AK,99.4,Critical,Burdened & under-served,18.3,36.26666666666667,26.0,55,39.766666666666666,26.200000000000003,13.7,13.5,9763
28125,Sharkey,MS,99.4,Critical,Burdened & under-served,24.3,43.199999999999996,22.0,3,31.133333333333336,32.275,19.6,16.5,3336
22035,East Carroll,LA,99.3,Critical,Burdened & under-served,25.7,32.1,25.0,6,30.899999999999995,35.425,21.3,16.0,6829
28011,Bolivar,MS,99.3,Critical,Burdened & under-served,22.53333333333333,41.1,25.0,9,29.96666666666667,27.625,17.9,14.2,28968
28135,Tallahatchie,MS,99.3,Critical,Burdened & under-served,21.95,43.26666666666667,23.0,9,30.799999999999997,27.225,17.0,16.0,11837
47095,Lake,TN,99.2,Critical,Burdened & under-served,23.249999999999996,33.63333333333333,23.0,7,33.6,,17.8,20.4,6347
28005,Amite,MS,99.2,Critical,Burdened & under-served,20.76666666666667,42.46666666666667,25.0,12,30.333333333333332,23.975,15.1,13.5,12442
28027,Coahoma,MS,99.2,Critical,Burdened & under-served,23.416666666666668,42.26666666666667,24.0,6,30.2,31.1,19.5,15.6,20077
48505,Zapata,TX,99.1,Critical,Burdened & under-served,20.3,46.199999999999996,21.0,6,37.8,,20.1,43.3,13736
28053,Humphreys,MS,99.1,Critical,Burdened & under-served,25.266666666666666,43.1,22.0,3,30.599999999999998,33.725,20.6,16.8,7216
13271,Telfair,GA,99.1,Critical,Burdened & under-served,21.099999999999998,34.800000000000004,22.0,2,33.46666666666666,26.275,17.6,23.4,10920
05041,Desha,AR,99.0,Critical,Burdened & under-served,22.399999999999995,32.699999999999996,22.0,9,33.0,28.950000000000003,17.1,16.8,10479
28055,Issaquena,MS,99.0,Critical,Burdened & under-served,22.900000000000002,45.0,22.0,3,30.599999999999998,30.025,17.8,20.0,1256
28051,Holmes,MS,99.0,Critical,Burdened & under-served,25.03333333333333,42.53333333333333,25.0,6,29.266666666666666,33.95,21.0,16.1,15777
48127,Dimmit,TX,98.9,Critical,Burdened & under-served,21.833333333333332,45.666666666666664,20.0,6,40.300000000000004,,21.5,41.6,8257
28151,Washington,MS,98.9,Critical,Burdened & under-served,22.21666666666667,42.0,24.0,6,30.0,29.75,17.6,15.0,41946
28021,Claiborne,MS,98.8,Critical,Burdened & under-served,23.98333333333333,41.46666666666666,25.0,6,29.133333333333336,31.775,19.6,14.5,8617
48047,Brooks,TX,98.8,Critical,Burdened & under-served,19.166666666666668,42.300000000000004,22.0,3,37.46666666666666,,18.2,38.0,6848
48323,Maverick,TX,98.8,Critical,Burdened & under-served,18.95,42.86666666666667,23.0,9,35.666666666666664,,18.1,39.0,57762
28083,Leflore,MS,98.7,Critical,Burdened & under-served,22.466666666666665,42.199999999999996,23.0,3,29.933333333333334,30.35,19.0,15.0,26378
48427,Starr,TX,98.7,Critical,Burdened & under-served,20.55,45.46666666666667,20.0,3,37.53333333333334,,20.5,43.7,65934
48215,Hidalgo,TX,98.7,Critical,Burdened & under-served,18.849999999999998,42.06666666666666,25.0,10,32.233333333333334,,17.7,37.5,898471
38079,Rolette,ND,98.6,Critical,Burdened & under-served,21.083333333333332,30.333333333333332,22.0,12,34.66666666666667,25.0,16.5,11.2,11728
30035,Glacier,MT,98.6,Critical,Burdened & under-served,18.7,34.86666666666667,23.0,18,36.5,25.724999999999998,14.5,14.6,13609
28163,Yazoo,MS,98.6,Critical,Burdened & under-served,23.350000000000005,44.1,21.0,6,30.599999999999998,29.175,17.9,18.3,25796
46137,Ziebach,SD,98.5,Critical,Burdened & under-served,21.650000000000002,31.2,22.0,12,35.63333333333333,,18.1,14.2,2322
13167,Johnson,GA,98.5,Critical,Burdened & under-served,20.5,32.0,25.0,7,31.299999999999997,22.725,15.3,17.9,9282
48229,Hudspeth,TX,98.5,Critical,Burdened & under-served,19.35,44.06666666666666,21.0,3,37.266666666666666,,17.4,36.9,3451
40063,Hughes,OK,98.4,Critical,Burdened & under-served,19.366666666666667,29.7,26.0,12,36.833333333333336,21.175,13.4,13.5,13436
13003,Atkinson,GA,98.4,Critical,Burdened & under-served,20.583333333333332,34.766666666666666,21.0,2,33.0,24.8,16.5,26.0,8293
48283,La Salle,TX,98.4,Critical,Burdened & under-served,18.450000000000003,43.666666666666664,23.0,6,38.06666666666667,,16.6,39.0,6537
28161,Yalobusha,MS,98.3,Critical,Burdened & under-served,20.0,42.36666666666667,22.0,9,31.13333333333333,24.275,15.0,13.9,12386
